Date,Exchange_Rate
2018-10,7.69883
2018-10,7.69883
2018-10,7.70017
2018-10,7.70640
2018-10,7.70767
2018-10,7.71494
2018-10,7.71494
2018-10,7.71494
2018-10,7.71494
2018-10,7.72351
2018-10,7.72678
2018-10,7.73596
2018-10,7.73678
2018-10,7.74183
2018-10,7.74183
2018-10,7.74183
2018-10,7.74183
2018-10,7.74620
2018-10,7.74750
2018-10,7.74961
2018-10,7.74534
2018-10,7.74534
2018-10,7.74534
2018-10,7.74307
2018-10,7.73740
2018-10,7.73340
2018-11,7.73340
2018-11,7.72162
2018-11,7.72162
2018-11,7.72162
2018-11,7.71656
2018-11,7.70913
2018-11,7.70459
2018-11,7.69478
2018-11,7.69015
2018-11,7.69015
2018-11,7.69015
2018-11,7.69570
2018-11,7.69860
2018-11,7.69484
2018-11,7.69549
2018-11,7.69649
2018-11,7.69649
2018-11,7.69649
2018-11,7.69738
2018-11,7.69598
2018-11,7.69430
2018-11,7.69551
2018-11,7.69401
2018-11,7.69401
2018-11,7.69401
2018-11,7.69313
2018-11,7.70028
2018-11,7.69664
2018-11,7.69670
2018-11,7.70115
2018-12,7.70115
2018-12,7.70115
2018-12,7.70414
2018-12,7.70996
2018-12,7.71954
2018-12,7.72058
2018-12,7.72843
2018-12,7.72843
2018-12,7.72843
2018-12,7.72773
2018-12,7.73026
2018-12,7.73056
2018-12,7.73038
2018-12,7.72977
2018-12,7.72977
2018-12,7.72977
2018-12,7.73860
2018-12,7.74630
2018-12,7.74502
2018-12,7.74145
2018-12,7.73892
2018-12,7.73892
2018-12,7.73892
2018-12,7.73552
2018-12,7.73552
2018-12,7.73582
2018-12,7.73718
2018-12,7.73695
2018-12,7.73695
2018-12,7.73695
2018-12,7.73695
2019-01,7.73695
2019-01,7.73248
2019-01,7.73020
2019-01,7.72824
2019-01,7.72824
2019-01,7.72824
2019-01,7.72825
2019-01,7.72670
2019-01,7.72707
2019-01,7.72621
2019-01,7.72582
2019-01,7.72582
2019-01,7.72582
2019-01,7.72847
2019-01,7.72379
2019-01,7.72622
2019-01,7.72311
2019-01,7.72226
2019-01,7.72226
2019-01,7.72226
2019-01,7.72376
2019-01,7.72366
2019-01,7.72459
2019-01,7.72765
2019-01,7.72917
2019-01,7.72917
2019-01,7.72917
2019-01,7.73199
2019-01,7.73738
2019-01,7.74444
2019-01,7.76425
2019-02,7.76239
2019-02,7.76239
2019-02,7.76239
2019-02,7.76260
2019-02,7.75934
2019-02,7.75849
2019-02,7.75362
2019-02,7.75143
2019-02,7.75143
2019-02,7.75143
2019-02,7.74481
2019-02,7.74786
2019-02,7.74271
2019-02,7.74017
2019-02,7.73771
2019-02,7.73771
2019-02,7.73771
2019-02,7.72983
2019-02,7.72228
2019-02,7.72134
2019-02,7.72108
2019-02,7.71924
2019-02,7.71924
2019-02,7.71924
2019-02,7.71361
2019-02,7.71091
2019-02,7.71045
2019-02,7.70778
2019-03,7.70445
2019-03,7.70445
2019-03,7.70445
2019-03,7.70537
2019-03,7.70243
2019-03,7.69940
2019-03,7.69823
2019-03,7.69653
2019-03,7.69653
2019-03,7.69653
2019-03,7.69333
2019-03,7.69438
2019-03,7.69433
2019-03,7.68603
2019-03,7.69214
2019-03,7.69214
2019-03,7.69214
2019-03,7.69154
2019-03,7.69039
2019-03,7.68898
2019-03,7.68497
2019-03,7.68067
2019-03,7.68067
2019-03,7.68067
2019-03,7.67577
2019-03,7.67909
2019-03,7.67690
2019-03,7.67920
2019-03,7.68104
2019-03,7.68104
2019-03,7.68104
2019-04,7.68031
2019-04,7.67452
2019-04,7.67399
2019-04,7.66934
2019-04,7.66855
2019-04,7.66855
2019-04,7.66855
2019-04,7.65806
2019-04,7.64809
2019-04,7.64366
2019-04,7.63603
2019-04,7.63445
2019-04,7.63445
2019-04,7.63445
2019-04,7.63429
2019-04,7.63108
2019-04,7.62817
2019-04,7.62817
2019-04,7.62817
2019-04,7.62817
2019-04,7.62817
2019-04,7.62409
2019-04,7.62187
2019-04,7.62239
2019-04,7.63297
2019-04,7.64411
2019-04,7.64411
2019-04,7.64411
2019-04,7.64411
2019-04,7.65219
2019-05,7.65228
2019-05,7.65683
2019-05,7.65718
2019-05,7.65718
2019-05,7.65718
2019-05,7.65604
2019-05,7.65644
2019-05,7.65613
2019-05,7.65443
2019-05,7.65614
2019-05,7.65614
2019-05,7.65614
2019-05,7.65274
2019-05,7.65357
2019-05,7.65370
2019-05,7.65714
2019-05,7.66162
2019-05,7.66162
2019-05,7.66162
2019-05,7.65827
2019-05,7.66192
2019-05,7.66578
2019-05,7.66830
2019-05,7.68075
2019-05,7.68075
2019-05,7.68075
2019-05,7.68826
2019-05,7.70055
2019-05,7.70191
2019-05,7.71248
2019-05,7.72270
2019-06,7.72270
2019-06,7.72270
2019-06,7.71675
2019-06,7.71465
2019-06,7.71156
2019-06,7.70950
2019-06,7.70576
2019-06,7.70576
2019-06,7.70576
2019-06,7.70183
2019-06,7.69664
2019-06,7.69365
2019-06,7.69442
2019-06,7.69462
2019-06,7.69462
2019-06,7.69462
2019-06,7.69217
2019-06,7.69626
2019-06,7.70029
2019-06,7.70266
2019-06,7.70228
2019-06,7.70228
2019-06,7.70228
2019-06,7.70543
2019-06,7.70907
2019-06,7.71227
2019-06,7.71455
2019-06,7.70823
2019-06,7.70823
2019-06,7.70823
2019-07,7.70823
2019-07,7.70823
2019-07,7.70168
2019-07,7.69571
2019-07,7.69476
2019-07,7.69476
2019-07,7.69476
2019-07,7.68757
2019-07,7.68019
2019-07,7.67423
2019-07,7.67558
2019-07,7.67850
2019-07,7.67850
2019-07,7.67850
2019-07,7.67090
2019-07,7.66706
2019-07,7.66775
2019-07,7.66198
2019-07,7.65753
2019-07,7.65753
2019-07,7.65753
2019-07,7.65107
2019-07,7.64833
2019-07,7.65113
2019-07,7.66257
2019-07,7.66851
2019-07,7.66851
2019-07,7.66851
2019-07,7.67950
2019-07,7.68197
2019-07,7.68161
2019-08,7.67597
2019-08,7.67201
2019-08,7.67201
2019-08,7.67201
2019-08,7.66470
2019-08,7.66258
2019-08,7.66260
2019-08,7.66488
2019-08,7.66499
2019-08,7.66499
2019-08,7.66499
2019-08,7.66867
2019-08,7.67125
2019-08,7.67325
2019-08,7.67325
2019-08,7.67226
2019-08,7.67226
2019-08,7.67226
2019-08,7.67135
2019-08,7.67255
2019-08,7.67146
2019-08,7.67178
2019-08,7.67193
2019-08,7.67193
2019-08,7.67193
2019-08,7.66866
2019-08,7.66837
2019-08,7.67421
2019-08,7.67454
2019-08,7.68091
2019-08,7.68091
2019-09,7.68091
2019-09,7.68019
2019-09,7.68046
2019-09,7.68107
2019-09,7.68209
2019-09,7.68584
2019-09,7.68584
2019-09,7.68584
2019-09,7.69980
2019-09,7.70358
2019-09,7.70908
2019-09,7.70894
2019-09,7.70732
2019-09,7.70732
2019-09,7.70732
2019-09,7.70732
2019-09,7.70325
2019-09,7.70283
2019-09,7.70525
2019-09,7.71186
2019-09,7.71186
2019-09,7.71186
2019-09,7.71494
2019-09,7.72059
2019-09,7.72266
2019-09,7.72934
2019-09,7.73170
2019-09,7.73170
2019-09,7.73170
2019-09,7.73551
2019-10,7.73978
2019-10,7.75378
2019-10,7.75781
2019-10,7.77061
2019-10,7.77061
2019-10,7.77061
2019-10,7.77457
2019-10,7.77628
2019-10,7.77890
2019-10,7.77815
2019-10,7.77815
2019-10,7.77815
2019-10,7.77815
2019-10,7.77186
2019-10,7.77059
2019-10,7.77368
2019-10,7.77316
2019-10,7.77074
2019-10,7.77074
2019-10,7.77074
2019-10,7.77074
2019-10,7.76690
2019-10,7.76558
2019-10,7.76327
2019-10,7.75533
2019-10,7.75533
2019-10,7.75533
2019-10,7.74661
2019-10,7.73503
2019-10,7.72046
2019-10,7.71001
2019-11,7.71001
2019-11,7.71001
2019-11,7.71001
2019-11,7.70849
2019-11,7.69841
2019-11,7.69492
2019-11,7.69473
2019-11,7.69679
2019-11,7.69679
2019-11,7.69679
2019-11,7.70291
2019-11,7.71584
2019-11,7.70927
2019-11,7.71191
2019-11,7.70808
2019-11,7.70808
2019-11,7.70808
2019-11,7.70387
2019-11,7.70350
2019-11,7.70272
2019-11,7.70112
2019-11,7.70744
2019-11,7.70744
2019-11,7.70744
2019-11,7.70396
2019-11,7.70340
2019-11,7.70171
2019-11,7.70196
2019-11,7.70254
2019-11,7.70254
2019-12,7.70254
2019-12,7.69993
2019-12,7.69237
2019-12,7.68731
2019-12,7.68281
2019-12,7.67960
2019-12,7.67960
2019-12,7.67960
2019-12,7.67369
2019-12,7.66967
2019-12,7.66848
2019-12,7.67130
2019-12,7.67979
2019-12,7.67979
2019-12,7.67979
2019-12,7.68029
2019-12,7.68477
2019-12,7.68321
2019-12,7.68863
2019-12,7.69450
2019-12,7.69450
2019-12,7.69450
2019-12,7.70124
2019-12,7.70300
2019-12,7.70300
2019-12,7.69934
2019-12,7.69862
2019-12,7.69862
2019-12,7.69862
2019-12,7.69884
2019-12,7.69884
2020-01,7.69884
2020-01,7.69910
2020-01,7.70711
2020-01,7.70711
2020-01,7.70711
2020-01,7.70715
2020-01,7.70704
2020-01,7.71017
2020-01,7.71434
2020-01,7.71362
2020-01,7.71362
2020-01,7.71362
2020-01,7.71043
2020-01,7.70629
2020-01,7.70183
2020-01,7.69695
2020-01,7.69441
2020-01,7.69441
2020-01,7.69441
2020-01,7.69116
2020-01,7.69061
2020-01,7.68817
2020-01,7.68667
2020-01,7.68362
2020-01,7.68362
2020-01,7.68362
2020-01,7.67562
2020-01,7.67790
2020-01,7.67272
2020-01,7.66860
2020-01,7.66401
2020-02,7.66401
2020-02,7.66401
2020-02,7.65827
2020-02,7.65224
2020-02,7.64549
2020-02,7.64626
2020-02,7.64851
2020-02,7.64851
2020-02,7.64851
2020-02,7.64658
2020-02,7.64377
2020-02,7.64120
2020-02,7.63811
2020-02,7.63636
2020-02,7.63636
2020-02,7.63636
2020-02,7.63395
2020-02,7.63910
2020-02,7.63883
2020-02,7.64218
2020-02,7.64393
2020-02,7.64393
2020-02,7.64393
2020-02,7.64319
2020-02,7.64616
2020-02,7.65202
2020-02,7.66928
2020-02,7.67884
2020-02,7.67884
2020-03,7.67884
2020-03,7.68058
2020-03,7.67454
2020-03,7.67279
2020-03,7.67581
2020-03,7.67024
2020-03,7.67024
2020-03,7.67024
2020-03,7.67278
2020-03,7.66555
2020-03,7.66021
2020-03,7.65385
2020-03,7.65040
2020-03,7.65040
2020-03,7.65040
2020-03,7.64678
2020-03,7.64355
2020-03,7.64076
2020-03,7.63643
2020-03,7.64301
2020-03,7.64301
2020-03,7.64301
2020-03,7.67474
2020-03,7.75213
2020-03,7.92793
2020-03,7.79488
2020-03,7.74591
2020-03,7.74591
2020-03,7.74591
2020-03,7.71441
2020-03,7.68467
2020-04,7.69774
2020-04,7.70159
2020-04,7.69881
2020-04,7.69881
2020-04,7.69881
2020-04,7.71629
2020-04,7.70779
2020-04,7.70585
2020-04,7.70585
2020-04,7.70585
2020-04,7.70585
2020-04,7.70585
2020-04,7.70659
2020-04,7.70637
2020-04,7.70748
2020-04,7.70856
2020-04,7.71031
2020-04,7.71031
2020-04,7.71031
2020-04,7.70707
2020-04,7.71047
2020-04,7.71099
2020-04,7.70876
2020-04,7.71210
2020-04,7.71210
2020-04,7.71210
2020-04,7.70435
2020-04,7.70677
2020-04,7.71402
2020-04,7.71244
2020-05,7.71244
2020-05,7.71244
2020-05,7.71244
2020-05,7.70989
2020-05,7.70694
2020-05,7.70552
2020-05,7.70412
2020-05,7.70319
2020-05,7.70319
2020-05,7.70319
2020-05,7.70279
2020-05,7.69601
2020-05,7.69791
2020-05,7.69710
2020-05,7.69932
2020-05,7.69932
2020-05,7.69932
2020-05,7.69932
2020-05,7.69441
2020-05,7.69551
2020-05,7.69287
2020-05,7.69203
2020-05,7.69203
2020-05,7.69203
2020-05,7.69347
2020-05,7.68910
2020-05,7.69216
2020-05,7.69153
2020-05,7.68949
2020-05,7.68949
2020-05,7.68949
2020-06,7.68962
2020-06,7.68596
2020-06,7.68571
2020-06,7.68350
2020-06,7.68541
2020-06,7.68541
2020-06,7.68541
2020-06,7.68829
2020-06,7.68923
2020-06,7.69288
2020-06,7.69563
2020-06,7.70041
2020-06,7.70041
2020-06,7.70041
2020-06,7.70262
2020-06,7.70792
2020-06,7.70464
2020-06,7.70646
2020-06,7.70867
2020-06,7.70867
2020-06,7.70867
2020-06,7.70359
2020-06,7.69889
2020-06,7.70280
2020-06,7.70028
2020-06,7.70026
2020-06,7.70026
2020-06,7.70026
2020-06,7.70026
2020-06,7.70026
2020-07,7.70421
2020-07,7.69911
2020-07,7.70365
2020-07,7.70365
2020-07,7.70365
2020-07,7.70416
2020-07,7.70401
2020-07,7.69939
2020-07,7.69551
2020-07,7.69771
2020-07,7.69771
2020-07,7.69771
2020-07,7.69296
2020-07,7.69193
2020-07,7.69168
2020-07,7.69051
2020-07,7.68992
2020-07,7.68992
2020-07,7.68992
2020-07,7.69145
2020-07,7.68885
2020-07,7.69176
2020-07,7.69095
2020-07,7.68863
2020-07,7.68863
2020-07,7.68863
2020-07,7.69427
2020-07,7.69563
2020-07,7.69880
2020-07,7.70133
2020-07,7.70871
2020-08,7.70871
2020-08,7.70871
2020-08,7.70888
2020-08,7.70698
2020-08,7.70555
2020-08,7.70086
2020-08,7.70070
2020-08,7.70070
2020-08,7.70070
2020-08,7.70025
2020-08,7.69972
2020-08,7.70296
2020-08,7.70105
2020-08,7.70105
2020-08,7.70105
2020-08,7.70105
2020-08,7.70024
2020-08,7.69648
2020-08,7.69894
2020-08,7.69998
2020-08,7.70132
